"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_lamports_last_10"
"Simpj3KyRQmpRkXuBvCQFS7DBBG6vqw93SkZb9UD1hp",0,117,-Infinity,-Infinity,221312
"HsUhGC6yKwr8kLC5gdqVLrDfKsGCd2ZAXiabP1WojuzA",10,116,-Infinity,-Infinity,220926
"3NXnw51gHc2rDWTCWU4eVpP1yHyKKbJa1p6JDgMkmiDa",10,116,-Infinity,-Infinity,218603
"LunaFpQkZsZVJL2P2BUqNDJqyVYqrw9buQnjQtMLXdK",0,117,-Infinity,-Infinity,216300
"7wqiBhRVEkbV3A8LbR9W1eNb5s27CBwoRCVro1okB6ew",10,117,-Infinity,-Infinity,215981
"QhyTEHb5JkMBki8Lq1npsaixefUyMXWJtbxK6jNjxnn",0,26,-Infinity,-Infinity,215927
"DTDvrj1mKFv453DMAGRuFwg77DuLjsfVHnbLe5BJPL9D",10,117,-Infinity,-Infinity,211795
"DUCKsGEPEdNv9QeskPNwoJdWgAXjxUFrkNDEKjAnLWyY",10,116,-Infinity,-Infinity,211500
"4qvFxnUXYjBdcviCwVV7gKcGJMCENEBfS82hSLJUhyvu",10,116,-Infinity,-Infinity,208346
"ASfKFAKz6fH4eip1jdLGt5Ym954kU9KYnwq2Csn9ogSz",10,117,-Infinity,-Infinity,206382
"CqSMzh8DWZeqYVa5M1V1rHU825T19NCjYipM3pkdHncm",0,118,-Infinity,-Infinity,206352
"g4MMQmzT7182jBvyUebMvsgvNM3RVrVFFJd9tRjWXhf",0,117,-Infinity,-Infinity,206245
