"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10"
"Ev3gPXRo6TJeQ2QhxfqWFoasdoGbmDytYvJbUabEHfLf",9,216,0,800,408911
"xBLpiTwufjcuFCjbk4aCmFy7HUY5D9xy8L1EX2rBwmC",10,12,7,800,391788
"71nnaeTyVeA4pTozAPjRuQyMydQTZCrFUkz7Pzy5tiDJ",10,63,1,100,384165
"CooLbbZy5Xmdt7DiHPQ3ss2uRXawnTXXVgpMS8E8jDzr",10,54,0,0,383878
"4PsiLMyoUQ7QRn1FFiFCvej4hsUTFzfvJnyN4bj1tmSN",10,217,5,500,377725
"D3QPJm7BDzzPeRG51YZSEz3LfV7GvFNu9NkcibzURxuj",10,116,0,0,374104
"696fkFqwiLxsDG8Jr5MvU9kvGm9uuMuTPh3rn3ybRNQm",0,101,0,10000,371874
"mintrNtxN3PhAB45Pt41XqyKghTTpqcoBkQTZqh96iR",0,215,7,10000,364176
"CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc",10,216,0,0,352118
"J2nUHEAgZFRyuJbFjdqPrAa9gyWDuc7hErtDQHPhsYRp",0,217,9,800,345559
"QUANT7qKUEW4PS4eP9jq4K35rDHpgWkWcgjbW1CwnGJ",10,166,0,0,343400
"J1to3PQfXidUUhprQWgdKkQAMWPJAEqSJ7amkBDE9qhF",10,216,0,800,333638
"D8aGMETy3q6ymADJs7YS81QY2qTQmptVox3iCfGDgSTA",10,216,0,0,323647
"BeachiopjxQxL7CaHNSZsynApiZCKx9QFVtcWNz3jDBo",0,214,8,800,321672
"49DJjUX3cwFvaZD5rCAwubiz7qdRWDez9xmB381XdHru",10,217,0,800,321390
"H7JJ6aE73ufbUuDCZSQMxguQsj28XHe4VQyMk2hsVGoo",10,215,0,800,317837
"DTDvrj1mKFv453DMAGRuFwg77DuLjsfVHnbLe5BJPL9D",9,216,0,1000,317184
"2Gife8andd4BkEbT5CncpriPxmQYqbspDh8cXkN6RUSH",10,216,0,800,314073
"GLCrZmxWYcrGMA5uRa8mmNnQurGBL2p9zrKk9DKugSZX",0,82,10,10000,308319
"9sWYTuuR4s12Q4SuSfo5CfWaFggQwA6Z8pf8dWowN5rk",8,216,0,0,307931
"DUCKsGEPEdNv9QeskPNwoJdWgAXjxUFrkNDEKjAnLWyY",10,215,0,800,303340
"6tgtejPHUHR1pECzXqQT8EHZqnKCWZFSqdZXDyBaKe3b",0,215,100,200,300020
"BWkvytz3MAiLkUbMuYK5yV1VYThbBYYQYG3gdef8NLw5",0,215,0,1000,298801
"HLM6hyDWrEca9QMS92nDBa2AreU1qDkppttPVuJ7E2CU",0,217,0,1000,293648
"39xF5qkfK5HBaG4Hkq6bjumUB2k4B5ozEAmfZoobhUVw",0,215,0,900,292142
"4v2os15BGgAnqiy76YvPmAywp5xKh9jfBPfnQGzUVc9c",0,215,5,10000,289438
"yrfQfUfsZechz1zqQyTRRz43czTZQidcrm4SNVWiDPi",4,215,0,1000,287019
"Cn9bZCGSYN57GsTfJ5YLCy8HMejHZqrBQkv99eusJtEH",4,216,0,1000,286522
"6JfBwvcz5QUKQJ37BMKTLrf968DDJBtwoZLw19aHwFtQ",10,214,0,0,277075
"2w4dcnbJDcGrAh4CFAYYpAaEJiUB2q1rFMGByBuB5Cqz",10,172,0,800,270301
"1Dadio3JRvpEjY6iSmXmhbGy9RiU8Nxh2GmoVbNusbE",0,160,0,1000,269629
