"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","avg_activated_stake_lamports_last_10"
Dmy1eaTtMk8dQWh9BRWGrAFH5sDxXcAppuX3vXoibLHr,10,114,301303
EQ6NPjd1WunaYYSpDoE8XkNroXUZRNtDscwG4UU3E8GN,10,114,300405
xrbViLXFeUQ198fXm7knA51J316SyyYdbstKDzbXnN1,10,115,299463
4unpnaqscDQ1GcgbeL676gUYur7VJze4ZH3UncuGuL5H,10,114,299326
8CUMJBYoYBZrdfvKvcDD4w4dtw65YSbK6fcdDoUzzwK3,0,114,298704
2LqGNF8jhLuHGCJKqU4iFrHjrYMfDEswrwmqhu6hZ7pm,10,115,298448
6BNJNdeeg49yRrTRmZL6A6hubgpGhHsyu7crWbdBpKta,10,116,296780
J7UfUyaR8HGaTFEoxhwKJffWb3Mx4eUGpX3WkhUC3Ewe,10,115,296566
DPNxSM4Cw4Z49gC6FsQFVmtgN4mV2nNAXjuk5PmGztkw,10,115,291469
3V171Yxpbv3mnAEReYADjXV8gFinSp555HACSSU5tAcb,10,113,291249
G1aqvfNwwFQBPJciqZS1qK9UmaWcLQcMoq3MYKec6WXR,10,83,290731
6xTbEVkV1ntAyCMAz8eMgMyetnbt5E48wnPUsUmiPV8s,10,114,290660
29SasTbtNTg9rXJAoMe4bJU4mckJ91mXbszU7Zmm9VDF,0,116,289648
B95JUWVAMsTpFZkKxzFM9Wq25xSJVrdu5tmz3uFKv5oU,10,113,289414
8sPNJioAdv7E8647QS3NX4kvjgnFHWCfYixaTJfKXXrD,10,115,288622
8X6d36tmxFZn2zz4iPW1qbkb7h3pj2js3QeUmmJ9B7UC,10,114,285471
2mbYKfN6KUUAHYuCSzbm8rmEmuSrANnvBcDrsJiTvLj5,10,115,281981
4kig3qyoP4SF5vMv665Q2xP3TaggtPDsjukPVst7Q676,10,116,279366
F7oUELtjzW9WgVSPPH9pJFz5PiyhkXnh3sqXFbFZHGWg,10,114,274384
C7Dn66xCLTgoqXkrUJTToAQNPNKg7jK7kaZAPuLBzJQD,10,114,272362
BuH26EMYWBjqhX6D9LEEPaWFbgMNSfVBJ1wu7ZnzACrh,0,114,272324
GjabtNP2V2TsKCAywvRdQaZfucEtFvjC32LCAe4Gq7B4,10,116,271198
7Z4qV8gXvAVvdsPJmhkKqHEVFNAvn2YpAwERjScUM8Vu,10,116,270903
F5ZWuz71tbDDqa9XDPYSWTpuKkQqes2yUwVSacVqTCWc,10,116,270402
FVxjJRJtTX6yKWBdEtrfKZfV5H1iHefSjtu5VeM3ouSy,10,115,269852
C3pzSPA2mUJVKLDfFWnb83FhFcXR6Yx8qrpZU9E9K7bj,10,116,269420
34Hi93PJKkC8HcStfaJBi9wgkdyVbMPG4Hg4CP93cAoT,10,114,269177
8B8E2KizeqFWnC8J2YunTNF6u1ApXLTTiVyDsgvtGVdU,10,113,267037
4uxjEu1GQ8of7mUJXoXxR1YKwvmNvvzy1r9WBCz2m9La,10,115,265030
2gFZyUq3tayuLMFdALkrcbavFrvNeMHdBNbxmQuUrKhs,10,114,259872
7we5vwPmJ5aQzii91aH29YWJkEwEjUyCFYehX279zBnR,9,114,259082
BQDXnmJtSbnSrevS457JaedDffEsSo7vYJ8bvXrkPuCW,10,115,253956
6gxTPqeStps9XmZtjUjVBgM54AaTHrZsXuHeP5tvpk4w,10,113,252320
3p5WB5mwWNb3uFqo5PmUyViR13PWLqi4o6s4b6mY9pqw,10,115,252002
6LqnErAjit6CHRNiiGYSdDmAbFhymnjSzJqB14HbjaHt,10,115,251396
6sX2Wdu61muFv7EkZepWxzJV2kAS7CVtfaJxELa9Q8Fj,10,114,249898
CsAfGm2He3NY5FZm8K3SMeBeQtSNHZDmv23N35TLRMen,10,115,247951
57SnHsAo9JVNYxJ1YoBxDXyRAR9ML8WC5b7xEgwPxEbx,10,116,247409
8LQzj71tUf6KAmESxhGDBX6arV9cPwc2zf5NCZMyHHAY,10,116,245900
Agw4YGBi7vBXMZK2JRNJpD8BKwK47Y1ExA2TJ84yj7pE,10,115,245379
AVY78KeYqFnpvh5VyhL6mcZKVewenbpmhBd9bVWFnXZr,10,115,245234
FBkDgthsg1qhcgrRMtWfmVWkD41EPjtMiGK9boN3CLUX,10,115,241979
F1Wj9ymKBCC4oPG2SAaB4eDALC6a2nqRvtCMkQxjgB3,10,116,241163
4hzaejR3LoaVmugGLPMp2B4SnNhKpUSRPkRyeEx417g4,10,115,238603
7akpS3cSokh24KxPJYK79WGErifCq83Y2r4yXrewxBuS,10,115,238477
2NEka471HtYVW2sohvLM3pGjr8SZvMWFtNoUsFaRLsXS,10,115,238254
9mg41GtLNs2skDypSWfEEcwRo4rwYTiMtqswRY4gbV9X,9,116,238180
5DgapXEsZn1sqjrXyRXRJWKwrVQjZJCGp3fwpxefZu7L,0,111,237964
8AQZnaGtJ71zn99an2Xkhfaor64gp8nRud9wkG8koGuf,10,116,237649
6ESv3RMHTtx91ansJPTnDKiT7MznB9fTXjo5j4tUie75,10,114,237611
4RAKjoZDX9eV3nhtByoUJP7TSgx6SUqojBuP1Sc4S29b,10,58,237052
AXMwPoAWeJbUnkufc15qN4ixcJHKtGpZSKJHZPwFUfYW,10,114,234645
D5hL9mujPjsiDnkAGJ6NXZVdEFJCCAqBqYhAbUX8gYpY,10,115,234457
2KgvTAviJPwNJRRds6st3owz7SCr3TRTEyfruQCangYp,10,101,233587
9zuGWTazAnLjTHG2otKxsLCCYYSB6VjWd4E3YamBSJah,10,115,233189
94S6U4nzcmhx8rSDkxL9d48Qvnt6vgVqhgrUEXjMff5u,0,115,230007
5wpfniyGqhKSEXXcWTFNDwDdDsMKdsyS2xdNkCND7Mq4,10,114,229689
35Y5dJv6bjgZENmeceLkxf15n8ZvaaorNWTRTkZK4ajY,10,113,229433
Gpqcx3AmJuG3Lso84dj3WF1vwUqxPDyEJKrqxnd8k9si,10,43,228048
HgYUxXTyRY8ghudzHiWneQjvd4jvZqmXXxPaeqoaXDQH,10,114,226381
BY3cqJa8EV4d47f7741xHX4APiw1TsYf4XaGtYUxS3DX,10,115,226333
5GrmDr6mp8mWRaisTKJRyESdxZ9nbR9wBqL5M9LGCgXZ,10,114,225658
PsHRyqQXhYK6nJAirzsePH3mviEjuU2BL4RDTyU9uqh,10,116,225474
LPJXFT3ERagNABSvJdcrDqxZM7FG13D3fDNHXFg18CP,10,114,224208
92P3hS9Sg2k3Py7N6VaWkTBXYK9pF1xBDmQEdcTEueP2,10,115,223648
E2Esmq79tQY7JXRycGj8Y47miP1SRLhrfYPuWRTmscWL,10,114,222552
E5VyPyHLBgQxW2bVEiW3PcPC5yxisw1e28LUQsgTPVdG,10,113,222267
3puEXAz4bC2TsbJ6Wc4JxaFBBUtv6HW4L7xcnh7XyS7U,10,114,221562
754KYE7d3gUmB1Bbi54WEft1Sic8SYXVxj43eiMCQFFZ,10,115,221324
6Uxdho2Q3MmKGutFosgrKtodCKu96hMi2KiaY6smqmHD,10,115,219765
APLVqiNHJcHJJuXVXBQdczPwQd44BrJ8d3TCwu67diLg,10,115,219373
DU8ZswXAVFVe6a5RryuYeRoF18CrtTpQQfnQxNcDiawq,10,115,217881
